epoch,vram_used_bytes,vram_free_bytes
1777450755,8118894592,454262784
1777450815,8119037952,454119424
1777450875,8119037952,454119424
1777450936,8119037952,454119424
1777450996,8119070720,454086656
1777451056,8119070720,454086656
1777451116,8119070720,454086656
1777451176,8119070720,454086656
1777451236,8119070720,454086656
1777451296,8119070720,454086656
1777451356,8119070720,454086656
1777451417,8119070720,454086656
1777451477,8119070720,454086656
1777451537,8119070720,454086656
1777451597,8119070720,454086656
1777451657,8119070720,454086656
1777451717,8119070720,454086656
1777451777,8119070720,454086656
1777451837,8119070720,454086656
1777451897,8119070720,454086656
1777451958,8119070720,454086656
1777452018,8119070720,454086656
1777452078,8119070720,454086656
1777452138,8119070720,454086656
1777452198,8119070720,454086656
1777452258,8119070720,454086656
1777452318,8119070720,454086656
1777452378,8119070720,454086656
1777452439,8119070720,454086656
1777452499,8119070720,454086656
1777452559,8119070720,454086656
1777452619,8119070720,454086656
1777452679,8119070720,454086656
1777452739,8119070720,454086656
1777452799,8119070720,454086656
1777452859,8119070720,454086656
1777452919,8119070720,454086656
1777452980,8119070720,454086656
1777453040,8119070720,454086656
1777453100,8119070720,454086656
1777453160,8119070720,454086656
1777453220,8119070720,454086656
1777453280,8119070720,454086656
1777453340,8119070720,454086656
1777453400,8119070720,454086656
1777453460,8119070720,454086656
1777453521,8119070720,454086656
1777453581,8119070720,454086656
1777453641,8119070720,454086656
1777453701,8119070720,454086656
1777453761,8119070720,454086656
1777453821,8119070720,454086656
1777453881,8119070720,454086656
1777453941,8119070720,454086656
1777454002,8119070720,454086656
1777454062,8119070720,454086656
1777454122,8119070720,454086656
1777454182,8119070720,454086656
1777454242,8119070720,454086656
1777454302,8119070720,454086656
1777454362,8119070720,454086656
1777454422,8119070720,454086656
1777454482,8119070720,454086656
1777454543,8119070720,454086656
1777454603,8119070720,454086656
1777454663,8119070720,454086656
1777454723,8119070720,454086656
1777454783,8119070720,454086656
1777454843,8119070720,454086656
1777454903,8119070720,454086656
1777454963,8119070720,454086656
1777455024,8119070720,454086656
1777455084,8119070720,454086656
1777455144,8119070720,454086656
1777455204,8119070720,454086656
1777455264,8119070720,454086656
1777455324,8119070720,454086656
1777455384,8119070720,454086656
1777455444,8119070720,454086656
1777455504,8119070720,454086656
1777455565,8119070720,454086656
1777455625,8119070720,454086656
1777455685,8119074816,454082560
1777455745,8119074816,454082560
1777455805,8119074816,454082560
1777455865,8119074816,454082560
1777455925,8119074816,454082560
1777455985,8119074816,454082560
1777456046,8119074816,454082560
1777456106,8119074816,454082560
1777456166,8119074816,454082560
1777456226,8119074816,454082560
1777456286,8119074816,454082560
1777456346,8119074816,454082560
1777456406,8119074816,454082560
1777456466,8119074816,454082560
1777456526,8119074816,454082560
1777456587,8119074816,454082560
1777456647,8119074816,454082560
1777456707,8119074816,454082560
1777456767,8119074816,454082560
1777456827,8119074816,454082560
1777456887,8119074816,454082560
1777456947,8119074816,454082560
1777457007,8119074816,454082560
1777457068,8119074816,454082560
1777457128,8119074816,454082560
1777457188,8119074816,454082560
1777457248,8119074816,454082560
1777457308,8119074816,454082560
1777457368,8119087104,454070272
1777457428,8119087104,454070272
1777457488,8119087104,454070272
1777457549,8119087104,454070272
1777457609,8119087104,454070272
1777457669,8119087104,454070272
1777457729,8119087104,454070272
1777457789,8119087104,454070272
1777457849,8119087104,454070272
1777457909,8119087104,454070272
